Num hidden,Batch size,Num hidden layers,Timestep [ms],Max delay [ms],DC max memory allocated [MiB],DC epoch time [s],mlGeNN peak memory [MiB],mlGeNN epoch time [s]
256,256,2,1127,64,7282.056641,276.7420255,3384,26.72102976
512,256,2,1127,64,12754.10352,515.7467981,5752,108.8150295
256,256,2,1127,128,7848.683105,361.3580497,3480,35.35671479
512,256,2,1127,128,13978.94092,718.7277833,5944,130.1693368
256,256,2,1127,256,8981.541504,570.4895561,3672,40.10158134
512,256,2,1127,256,16430.73291,1172.204116,6328,129.5698898
256,256,2,1127,512,11511.93945,1046.273617,4056,39.56994187
512,256,2,1127,512,,,7096,131.5764485
256,256,2,1127,1024,,,4824,38.92786421
512,256,2,1127,1024,,,8632,141.352743
