Time,VDD_CPU_GPU_CV,VDD_SOC
3.3024000003933907e-05,1.465,1.426
0.9992454399998678,1.546,1.426
2.000071999999818,1.141,1.388
2.9987189439998474,1.019,1.388
3.999181184000008,0.896,1.388
4.999272223999924,0.896,1.388
5.999765535999813,0.896,1.388
7.005726143999709,1.223,1.386
8.004300223999962,1.223,1.386
9.004731327999707,1.019,1.388
10.014216031999695,1.141,1.388
11.010601279999719,2.153,1.424
12.023943264000081,3.124,1.503
13.01907049600004,2.153,1.424
14.012017728000046,1.628,1.386
15.012918623999667,1.465,1.386
16.019363167999927,1.872,1.386
17.019067008000093,2.759,1.465
18.015459775999716,2.438,1.465
19.014857055999983,1.587,1.386
20.017336479999813,1.465,1.386
21.034971007999957,1.79,1.386
22.034581695999805,3.002,1.463
23.035171680000076,3.043,1.584
24.034902015999705,3.286,1.463
25.035144063999724,3.403,1.584
26.039457760000005,3.403,1.544
27.022900863999894,2.194,1.465
28.023684064000008,1.628,1.426
29.036595807999674,2.438,1.506
30.02876134400003,1.831,1.426
31.031515967999894,1.95,1.668
32.03716371199971,3.028,2.71
33.031079039999895,2.592,2.353
34.03038281599993,3.028,2.912
35.03786483199974,2.871,2.592
36.03615603199978,2.988,2.871
37.03749916800007,2.871,2.75
38.03652639999973,2.948,2.79
39.04033916799972,2.948,2.871
40.03691302399966,2.552,2.39
41.042860479999945,3.028,2.912
42.04145135999988,2.629,2.471
43.04266006399985,3.028,2.912
44.044618079999964,2.79,2.633
45.043527712000014,2.988,2.871
46.045868832,2.907,2.79
47.04481673600003,2.867,2.714
48.04939846399975,2.988,2.871
49.04877324800009,2.552,2.353
50.04860591999977,3.028,2.912
51.051764448000085,2.75,2.592
52.05065423999986,2.988,2.912
53.05213836799976,2.867,2.75
54.05231148799976,2.907,2.79
55.05590287999985,2.988,2.871
56.053123199999845,2.588,2.434
57.05613231999996,3.028,2.912
58.05678543999966,2.669,2.471
59.057553279999865,3.028,2.912
60.06032038400008,2.831,2.673
61.05870598399997,2.988,2.871
62.0601756799997,2.907,2.754
63.05932735999977,1.828,1.872
64.05853516799971,0.978,1.429
65.05895654400001,0.937,1.388
66.05928457599975,0.896,1.388
67.06007129599993,0.896,1.388
68.06110028800003,0.896,1.388
69.06200758399973,0.896,1.388
70.06408512000007,0.896,1.388
71.06475587199975,0.896,1.388
72.06551644799993,0.896,1.388
73.06685580799967,0.896,1.388
