Time,VDD_CPU_GPU_CV,VDD_SOC
2.841600144165568e-05,1.628,1.426
0.9947604160006449,1.059,1.386
1.9945423680001113,0.937,1.386
2.9949310080010036,0.896,1.388
3.9967782080002507,0.896,1.388
4.996948928001075,0.896,1.386
5.997960992001026,0.896,1.388
6.998644576000515,0.896,1.388
7.999144768000406,0.896,1.388
9.000388992000808,0.896,1.388
10.007104704000085,1.18,1.426
11.01432972800103,2.113,1.424
12.019975456001703,2.678,1.463
13.007059936000587,1.91,1.424
14.01338057600151,2.556,1.424
15.016071040001407,2.718,1.503
16.02754489600011,2.113,1.424
17.029649376001544,3.002,1.463
18.030153952000546,3.038,1.584
19.02637536000111,3.083,1.463
20.031069376000232,3.159,1.544
21.109311872000035,3.124,1.503
22.01599062400055,1.828,1.424
23.018272799999977,1.302,1.426
24.020595712001523,2.556,1.869
25.02148988800036,2.633,1.947
26.02237475200127,2.673,1.907
27.024970176000352,2.592,1.907
28.024067584001386,2.633,1.907
29.027494496000145,2.592,1.907
30.0256336320017,2.673,1.907
31.02813292800056,2.673,1.947
32.02755001600053,2.673,1.947
33.028582496001036,2.633,1.907
34.02940656000101,2.633,1.907
35.03128336000009,2.592,1.869
36.032501600000614,2.592,1.866
37.03385360000175,2.592,1.869
38.03332435200173,2.673,1.907
39.034612608000316,2.633,1.907
40.035261888000605,2.633,1.907
41.03738966400124,2.592,1.907
42.037288960000296,2.633,1.907
43.038105184001324,2.633,1.907
44.03927379200104,2.673,1.907
45.04151369600004,2.673,1.947
46.04235328000141,2.592,1.907
47.04537120000168,2.633,1.907
48.04388819199994,2.633,1.907
49.04474060800021,1.424,1.549
50.04307078400052,0.937,1.386
51.043222528000115,0.937,1.386
52.044816416000685,0.896,1.386
53.04527148800116,0.896,1.386
54.04549846400005,0.896,1.388
55.046491008000885,0.896,1.388
56.047798560000956,0.896,1.388
57.04910716800077,0.896,1.388
58.050172320001366,0.896,1.386
59.05100720000155,0.896,1.388
