Time,VDD_CPU_GPU_CV,VDD_SOC
2.569599928392563e-05,1.584,1.424
0.996641023999473,1.058,1.386
1.995944607999263,0.937,1.386
2.996082335999745,0.896,1.386
3.9968811839999034,0.896,1.386
4.998738880000019,0.896,1.386
5.998305183999946,0.896,1.386
7.000879872000041,0.896,1.386
8.002115231999596,0.896,1.386
9.002431807999528,0.896,1.386
10.006764383999325,1.019,1.386
11.006494271999145,1.343,1.386
12.011136095999973,1.947,1.747
13.013112927999828,2.633,2.231
14.01309718399989,2.669,2.268
15.015249151999342,2.592,2.191
16.014980287999606,2.669,2.268
17.016832287999932,2.592,2.231
18.018507007999688,2.669,2.268
19.01777132799998,2.629,2.228
20.01927116799925,2.629,2.268
21.02101235199916,2.633,2.231
22.022723231999407,2.669,2.268
23.02185462399939,2.669,2.309
24.021438591999868,2.669,2.309
25.02372227199976,2.633,2.231
26.022621023999818,2.669,2.228
27.02633689599952,2.629,2.231
28.024346591999347,2.669,2.231
29.029465887999322,2.629,2.231
30.028388479999194,2.633,2.191
31.031393439999192,2.669,2.268
32.030290911999145,2.629,2.231
33.03169187200001,2.629,2.268
34.03111439999975,2.629,2.228
35.03313391999927,2.669,2.228
36.03274796799997,2.629,2.272
37.03494796799987,2.669,2.228
38.035578399999395,2.592,2.191
39.036914271999194,2.669,2.268
40.03754495999965,2.669,2.268
41.04025929599993,2.629,2.268
42.041435871999965,2.629,2.268
43.0417998719995,2.629,2.268
44.04123279999931,2.669,2.228
45.04042211199976,2.629,2.231
46.04018911999992,1.18,1.508
47.04016460799994,0.937,1.386
48.04125779199967,0.896,1.386
49.04196559999946,0.896,1.386
50.04232892799973,0.896,1.386
51.0440745599999,0.896,1.386
52.0448668479994,0.896,1.386
53.0458310719996,0.896,1.386
54.04747046399916,0.896,1.386
55.04761574399981,0.896,1.386
56.04842476799968,0.896,1.386
